design_name,clock_frequency_mhz,toggle_rate,static_probability,cell_count,seq_cell_count,total_area,logic_depth,dynamic_power,leakage_power,power_units,vdd,temperature,process,pvt_corner
full_half_add_1bit,10,0.1,0.5,11,0,0.137088,4,723.9205,588.8833,nW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,10,0.5,0.5,11,0,0.137088,4,3.5712,588.8833,uW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,10,0.3,0.5,11,0,0.137088,4,2.1475,588.8833,uW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,10,0.8,0.5,11,0,0.137088,4,5.7066,588.8833,uW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,10,0.5,0.3,11,0,0.137088,4,3.5728,516.4434,uW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,10,0.5,0.7,11,0,0.137088,4,3.5695,666.2602,uW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,50,0.1,0.5,11,0,0.137088,4,772.3439,588.8833,nW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,50,0.5,0.5,11,0,0.137088,4,3.6196,588.8833,uW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,50,0.3,0.5,11,0,0.137088,4,2.1960,588.8833,uW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,50,0.8,0.5,11,0,0.137088,4,5.7550,588.8833,uW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,50,0.5,0.3,11,0,0.137088,4,3.6212,516.4434,uW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,50,0.5,0.7,11,0,0.137088,4,3.6180,666.2602,uW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,100,0.1,0.5,11,0,0.137088,4,819.6278,612.6345,nW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,100,0.5,0.5,11,0,0.137088,4,3.6801,588.8833,uW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,100,0.3,0.5,11,0,0.137088,4,2.2565,588.8833,uW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,100,0.8,0.5,11,0,0.137088,4,5.8156,588.8833,uW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,100,0.5,0.3,11,0,0.137088,4,3.6818,516.4434,uW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,100,0.5,0.7,11,0,0.137088,4,3.6785,666.2602,uW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,200,0.1,0.5,11,0,0.137088,4,852.6876,611.1529,nW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,200,0.5,0.5,11,0,0.137088,4,3.8012,588.8833,uW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,200,0.3,0.5,11,0,0.137088,4,2.3737,611.5303,uW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,200,0.8,0.5,11,0,0.137088,4,5.9366,588.8833,uW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,200,0.5,0.3,11,0,0.137088,4,3.8028,516.4434,uW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,200,0.5,0.7,11,0,0.137088,4,3.7996,666.2602,uW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,300,0.1,0.5,11,0,0.137088,4,863.2182,611.7539,nW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,300,0.5,0.5,11,0,0.137088,4,3.9085,611.7751,uW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,300,0.3,0.5,11,0,0.137088,4,2.4589,612.6345,uW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
