design_name,clock_frequency_mhz,toggle_rate,static_probability,cell_count,comb_cell_count,seq_cell_count,inv_count,buf_count,nand_count,nor_count,xor_count,mux_count,other_count,total_area,avg_cell_area,num_nets,num_inputs,num_outputs,max_fanout,avg_fanout,avg_fanin,logic_depth,depth_mean,depth_std,depth_max,critical_path_delay,wns,tns,avg_net_toggle,toggle_attenuation,dynamic_power_uW,leakage_power_uW,total_power_uW,vdd,temperature,process,pvt_corner
encoder_4to2_onehot,10,0.10,0.10,2,2,0,0,0,0,0,0,0,2,0.040320,0.02016,5,4,2,2,2.0,2.0,2,2.0,0.0,2,0.01,9.99,0.0,0.068,0.68,0.0079455,0.0002700558,0.0082155558,0.60,25,TT,saed05rvt_base_tt0p60v25c
encoder_4to2_onehot,10,0.10,0.37,2,2,0,0,0,0,0,0,0,2,0.040320,0.02016,5,4,2,2,2.0,2.0,2,2.0,0.0,2,0.01,9.99,0.0,0.068,0.68,0.0085,0.0002098003,0.0087098003,0.60,25,TT,saed05rvt_base_tt0p60v25c
encoder_4to2_onehot,10,0.10,0.63,2,2,0,0,0,0,0,0,0,2,0.040320,0.02016,5,4,2,2,2.0,2.0,2,2.0,0.0,2,0.01,9.99,0.0,0.068,0.68,0.0090339,0.0001563861,0.0091902861,0.60,25,TT,saed05rvt_base_tt0p60v25c
encoder_4to2_onehot,10,0.10,0.90,2,2,0,0,0,0,0,0,0,2,0.040320,0.02016,5,4,2,2,2.0,2.0,2,2.0,0.0,2,0.01,9.99,0.0,0.068,0.68,0.0095884,0.0001057047,0.0096941047,0.60,25,TT,saed05rvt_base_tt0p60v25c
encoder_4to2_onehot,10,0.37,0.10,2,2,0,0,0,0,0,0,0,2,0.040320,0.02016,5,4,2,2,2.0,2.0,2,2.0,0.0,2,0.01,9.99,0.0,0.23,0.621621621622,0.0085,0.0002700558,0.0087700558,0.60,25,TT,saed05rvt_base_tt0p60v25c
encoder_4to2_onehot,10,0.37,0.37,2,2,0,0,0,0,0,0,0,2,0.040320,0.02016,5,4,2,2,2.0,2.0,2,2.0,0.0,2,0.01,9.99,0.0,0.23,0.621621621622,0.0105515,0.0002098003,0.0107613003,0.60,25,TT,saed05rvt_base_tt0p60v25c
encoder_4to2_onehot,10,0.37,0.63,2,2,0,0,0,0,0,0,0,2,0.040320,0.02016,5,4,2,2,2.0,2.0,2,2.0,0.0,2,0.01,9.99,0.0,0.23,0.621621621622,0.0125271,0.0001563861,0.0126834861,0.60,25,TT,saed05rvt_base_tt0p60v25c
encoder_4to2_onehot,10,0.37,0.90,2,2,0,0,0,0,0,0,0,2,0.040320,0.02016,5,4,2,2,2.0,2.0,2,2.0,0.0,2,0.01,9.99,0.0,0.23,0.621621621622,0.0145787,0.0001057047,0.0146844047,0.60,25,TT,saed05rvt_base_tt0p60v25c
encoder_4to2_onehot,10,0.63,0.10,2,2,0,0,0,0,0,0,0,2,0.040320,0.02016,5,4,2,2,2.0,2.0,2,2.0,0.0,2,0.01,9.99,0.0,0.386,0.612698412698,0.0090339,0.0002700558,0.0093039558,0.60,25,TT,saed05rvt_base_tt0p60v25c
encoder_4to2_onehot,10,0.63,0.37,2,2,0,0,0,0,0,0,0,2,0.040320,0.02016,5,4,2,2,2.0,2.0,2,2.0,0.0,2,0.01,9.99,0.0,0.386,0.612698412698,0.0125271,0.0002098003,0.0127369003,0.60,25,TT,saed05rvt_base_tt0p60v25c
encoder_4to2_onehot,10,0.63,0.63,2,2,0,0,0,0,0,0,0,2,0.040320,0.02016,5,4,2,2,2.0,2.0,2,2.0,0.0,2,0.01,9.99,0.0,0.386,0.612698412698,0.0158909,0.0001563861,0.0160472861,0.60,25,TT,saed05rvt_base_tt0p60v25c
