design_name,clock_frequency_mhz,toggle_rate,static_probability,cell_count,comb_cell_count,seq_cell_count,inv_count,buf_count,nand_count,nor_count,xor_count,mux_count,other_count,total_area,avg_cell_area,num_nets,num_inputs,num_outputs,max_fanout,avg_fanout,avg_fanin,logic_depth,depth_mean,depth_std,depth_max,critical_path_delay,wns,tns,avg_net_toggle,toggle_attenuation,dynamic_power_uW,leakage_power_uW,total_power_uW,vdd,temperature,process,pvt_corner
adder_12bit,10,0.10,0.10,132,132,0,36,0,84,0,0,12,0,1.645056,0.0124625454545,157,25,13,213,42.7272727273,1.90909090909,52,28.3076923077,17.9202704967,52,0.43,9.57,0.0,0.0436942675159,0.436942675159,8.7238,0.0052717,8.7290717,0.60,25,TT,saed05rvt_base_tt0p60v25c
adder_12bit,10,0.10,0.37,132,132,0,36,0,84,0,0,12,0,1.645056,0.0124625454545,157,25,13,213,42.7272727273,1.90909090909,52,28.3076923077,17.9202704967,52,0.43,9.57,0.0,0.0424681528662,0.424681528662,8.6890,0.0062711,8.6952711,0.60,25,TT,saed05rvt_base_tt0p60v25c
adder_12bit,10,0.10,0.63,132,132,0,36,0,84,0,0,12,0,1.645056,0.0124625454545,157,25,13,213,42.7272727273,1.90909090909,52,28.3076923077,17.9202704967,52,0.43,9.57,0.0,0.0424681528662,0.424681528662,8.6873,0.0071044,8.6944044,0.60,25,TT,saed05rvt_base_tt0p60v25c
adder_12bit,10,0.10,0.90,132,132,0,36,0,84,0,0,12,0,1.645056,0.0124625454545,157,25,13,213,42.7272727273,1.90909090909,52,28.3076923077,17.9202704967,52,0.43,9.57,0.0,0.0408917197452,0.408917197452,8.6433,0.0084358,8.6517358,0.60,25,TT,saed05rvt_base_tt0p60v25c
adder_12bit,10,0.37,0.10,132,132,0,36,0,84,0,0,12,0,1.645056,0.0124625454545,157,25,13,213,42.7272727273,1.90909090909,52,28.3076923077,17.9202704967,52,0.43,9.57,0.0,0.126878980892,0.342916164572,31.2974,0.0058718,31.3032718,0.60,25,TT,saed05rvt_base_tt0p60v25c
adder_12bit,10,0.37,0.37,132,132,0,36,0,84,0,0,12,0,1.645056,0.0124625454545,157,25,13,213,42.7272727273,1.90909090909,52,28.3076923077,17.9202704967,52,0.43,9.57,0.0,0.128455414013,0.347176794629,31.3336,0.0062711,31.3398711,0.60,25,TT,saed05rvt_base_tt0p60v25c
adder_12bit,10,0.37,0.63,132,132,0,36,0,84,0,0,12,0,1.645056,0.0124625454545,157,25,13,213,42.7272727273,1.90909090909,52,28.3076923077,17.9202704967,52,0.43,9.57,0.0,0.128455414013,0.347176794629,31.3276,0.0071044,31.3347044,0.60,25,TT,saed05rvt_base_tt0p60v25c
adder_12bit,10,0.37,0.90,132,132,0,36,0,84,0,0,12,0,1.645056,0.0124625454545,157,25,13,213,42.7272727273,1.90909090909,52,28.3076923077,17.9202704967,52,0.43,9.57,0.0,0.126878980892,0.342916164572,31.2790,0.0084358,31.2874358,0.60,25,TT,saed05rvt_base_tt0p60v25c
adder_12bit,10,0.63,0.10,132,132,0,36,0,84,0,0,12,0,1.645056,0.0124625454545,157,25,13,213,42.7272727273,1.90909090909,52,28.3076923077,17.9202704967,52,0.43,9.57,0.0,0.209681528662,0.332827823274,53.1068,0.0058718,53.1126718,0.60,25,TT,saed05rvt_base_tt0p60v25c
adder_12bit,10,0.63,0.37,132,132,0,36,0,84,0,0,12,0,1.645056,0.0124625454545,157,25,13,213,42.7272727273,1.90909090909,52,28.3076923077,17.9202704967,52,0.43,9.57,0.0,0.211257961783,0.335330098069,53.1389,0.0062711,53.1451711,0.60,25,TT,saed05rvt_base_tt0p60v25c
