design_name,clock_frequency_mhz,toggle_rate,static_probability,cell_count,seq_cell_count,total_area,logic_depth,dynamic_power,leakage_power,power_units,vdd,temperature,process,pvt_corner
full_half_add_1bit,100,0.37,0.10,11,0,0.137088,4,2.7572,448.9404,uW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,100,0.37,0.37,11,0,0.137088,4,2.7556,541.2358,uW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,100,0.37,0.63,11,0,0.137088,4,2.7540,638.6167,uW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,100,0.37,0.90,11,0,0.137088,4,2.7524,748.5741,uW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,100,0.63,0.10,11,0,0.137088,4,4.6096,448.9404,uW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,100,0.63,0.37,11,0,0.137088,4,4.6068,541.2358,uW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,100,0.63,0.63,11,0,0.137088,4,4.6042,638.6167,uW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,100,0.63,0.90,11,0,0.137088,4,4.6014,748.5741,uW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,100,0.90,0.10,11,0,0.137088,4,6.5333,448.9404,uW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,100,0.90,0.37,11,0,0.137088,4,6.5293,541.2358,uW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,100,0.90,0.63,11,0,0.137088,4,6.5255,638.6167,uW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,100,0.90,0.90,11,0,0.137088,4,6.5215,748.5741,uW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,200,0.10,0.10,11,0,0.137088,4,803.5491,577.6706,nW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
