design_name,clock_frequency_mhz,toggle_rate,static_probability,cell_count,seq_cell_count,total_area,logic_depth,dynamic_power,leakage_power,power_units,vdd,temperature,process,pvt_corner
mux_condt,10,0.1,0.1,15,0,0.2016,8,619.0594,680.7438,nW/pW,0.6,25,TT,saed05rvt_base_tt0p60v25c
mux_condt,10,0.1,0.37,15,0,0.2016,8,618.4588,802.3047,nW/pW,0.6,25,TT,saed05rvt_base_tt0p60v25c
mux_condt,10,0.1,0.63,15,0,0.2016,8,617.8805,919.3635,nW/pW,0.6,25,TT,saed05rvt_base_tt0p60v25c
mux_condt,10,0.1,0.9,15,0,0.2016,8,617.2799,1.0409,nW/nW,0.6,25,TT,saed05rvt_base_tt0p60v25c
mux_condt,10,0.37,0.1,15,0,0.2016,8,771.9112,680.7438,nW/pW,0.6,25,TT,saed05rvt_base_tt0p60v25c
mux_condt,10,0.37,0.37,15,0,0.2016,8,769.6902,802.3047,nW/pW,0.6,25,TT,saed05rvt_base_tt0p60v25c
mux_condt,10,0.37,0.63,15,0,0.2016,8,767.5515,919.3635,nW/pW,0.6,25,TT,saed05rvt_base_tt0p60v25c
mux_condt,10,0.37,0.9,15,0,0.2016,8,765.3306,1.0409,nW/nW,0.6,25,TT,saed05rvt_base_tt0p60v25c
mux_condt,10,0.63,0.1,15,0,0.2016,8,918.472,680.7438,nW/pW,0.6,25,TT,saed05rvt_base_tt0p60v25c
mux_condt,10,0.63,0.37,15,0,0.2016,8,914.6904,802.3047,nW/pW,0.6,25,TT,saed05rvt_base_tt0p60v25c
mux_condt,10,0.63,0.63,15,0,0.2016,8,911.0489,919.3635,nW/pW,0.6,25,TT,saed05rvt_base_tt0p60v25c
mux_condt,10,0.63,0.9,15,0,0.2016,8,907.2674,1.0409,nW/nW,0.6,25,TT,saed05rvt_base_tt0p60v25c
mux_condt,10,0.9,0.1,15,0,0.2016,8,1.0706,680.7438,uW/pW,0.6,25,TT,saed05rvt_base_tt0p60v25c
mux_condt,10,0.9,0.37,15,0,0.2016,8,1.0652,802.3047,uW/pW,0.6,25,TT,saed05rvt_base_tt0p60v25c
mux_condt,10,0.9,0.63,15,0,0.2016,8,1.06,919.3635,uW/pW,0.6,25,TT,saed05rvt_base_tt0p60v25c
mux_condt,10,0.9,0.9,15,0,0.2016,8,1.0546,1.0409,uW/nW,0.6,25,TT,saed05rvt_base_tt0p60v25c
mux_condt,50,0.1,0.1,15,0,0.2016,8,2.8617,680.7438,uW/pW,0.6,25,TT,saed05rvt_base_tt0p60v25c
mux_condt,50,0.1,0.37,15,0,0.2016,8,2.8611,802.3047,uW/pW,0.6,25,TT,saed05rvt_base_tt0p60v25c
mux_condt,50,0.1,0.63,15,0,0.2016,8,2.8605,919.3635,uW/pW,0.6,25,TT,saed05rvt_base_tt0p60v25c
mux_condt,50,0.1,0.9,15,0,0.2016,8,2.8599,1.0409,uW/nW,0.6,25,TT,saed05rvt_base_tt0p60v25c
mux_condt,50,0.37,0.1,15,0,0.2016,8,3.0207,680.7438,uW/pW,0.6,25,TT,saed05rvt_base_tt0p60v25c
mux_condt,50,0.37,0.37,15,0,0.2016,8,3.0184,802.3047,uW/pW,0.6,25,TT,saed05rvt_base_tt0p60v25c
mux_condt,50,0.37,0.63,15,0,0.2016,8,3.0163,919.3635,uW/pW,0.6,25,TT,saed05rvt_base_tt0p60v25c
mux_condt,50,0.37,0.9,15,0,0.2016,8,3.0141,1.0409,uW/nW,0.6,25,TT,saed05rvt_base_tt0p60v25c
mux_condt,50,0.63,0.1,15,0,0.2016,8,3.1695,680.7438,uW/pW,0.6,25,TT,saed05rvt_base_tt0p60v25c
mux_condt,50,0.63,0.37,15,0,0.2016,8,3.1657,802.3047,uW/pW,0.6,25,TT,saed05rvt_base_tt0p60v25c
mux_condt,50,0.63,0.63,15,0,0.2016,8,3.1621,919.3635,uW/pW,0.6,25,TT,saed05rvt_base_tt0p60v25c
mux_condt,50,0.63,0.9,15,0,0.2016,8,3.1583,1.0409,uW/nW,0.6,25,TT,saed05rvt_base_tt0p60v25c
mux_condt,50,0.9,0.1,15,0,0.2016,8,3.3228,680.7438,uW/pW,0.6,25,TT,saed05rvt_base_tt0p60v25c
mux_condt,50,0.9,0.37,15,0,0.2016,8,3.3174,802.3047,uW/pW,0.6,25,TT,saed05rvt_base_tt0p60v25c
mux_condt,50,0.9,0.63,15,0,0.2016,8,3.3122,919.3635,uW/pW,0.6,25,TT,saed05rvt_base_tt0p60v25c
mux_condt,50,0.9,0.9,15,0,0.2016,8,3.3068,1.0409,uW/nW,0.6,25,TT,saed05rvt_base_tt0p60v25c
mux_condt,100,0.1,0.1,15,0,0.2016,8,2.273,758.077,uW/pW,0.6,25,TT,saed05rvt_base_tt0p60v25c
mux_condt,100,0.1,0.37,15,0,0.2016,8,2.7689,831.7592,uW/pW,0.6,25,TT,saed05rvt_base_tt0p60v25c
mux_condt,100,0.1,0.63,15,0,0.2016,8,2.8181,878.6461,uW/pW,0.6,25,TT,saed05rvt_base_tt0p60v25c
mux_condt,100,0.1,0.9,15,0,0.2016,8,2.3412,960.6395,uW/pW,0.6,25,TT,saed05rvt_base_tt0p60v25c
mux_condt,100,0.37,0.1,15,0,0.2016,8,5.8256,680.7438,uW/pW,0.6,25,TT,saed05rvt_base_tt0p60v25c
mux_condt,100,0.37,0.37,15,0,0.2016,8,5.8234,802.3047,uW/pW,0.6,25,TT,saed05rvt_base_tt0p60v25c
mux_condt,100,0.37,0.63,15,0,0.2016,8,5.8212,919.3635,uW/pW,0.6,25,TT,saed05rvt_base_tt0p60v25c
mux_condt,100,0.37,0.9,15,0,0.2016,8,5.819,1.0409,uW/nW,0.6,25,TT,saed05rvt_base_tt0p60v25c
mux_condt,100,0.63,0.1,15,0,0.2016,8,5.9778,680.7438,uW/pW,0.6,25,TT,saed05rvt_base_tt0p60v25c
mux_condt,100,0.63,0.37,15,0,0.2016,8,5.974,802.3047,uW/pW,0.6,25,TT,saed05rvt_base_tt0p60v25c
mux_condt,100,0.63,0.63,15,0,0.2016,8,5.9703,919.3635,uW/pW,0.6,25,TT,saed05rvt_base_tt0p60v25c
mux_condt,100,0.63,0.9,15,0,0.2016,8,5.9665,1.0409,uW/nW,0.6,25,TT,saed05rvt_base_tt0p60v25c
