design_name,clock_frequency_mhz,toggle_rate,static_probability,cell_count,seq_cell_count,total_area,logic_depth,dynamic_power,leakage_power,power_units,vdd,temperature,process,pvt_corner
comparator_16bit,10,0.10,0.10,100,0,1.274112,36,435.3872,7.1621,nW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
comparator_16bit,10,0.10,0.37,100,0,1.274112,36,572.7654,5.9149,nW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
comparator_16bit,10,0.10,0.63,100,0,1.274112,36,572.1419,5.9485,nW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
comparator_16bit,10,0.10,0.90,100,0,1.274112,36,432.6040,7.2958,nW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
comparator_16bit,10,0.37,0.10,100,0,1.274112,36,1.5717,7.1621,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
comparator_16bit,10,0.37,0.37,100,0,1.274112,36,1.7077,5.9149,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
comparator_16bit,10,0.37,0.63,100,0,1.274112,36,1.7046,5.9485,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
comparator_16bit,10,0.37,0.90,100,0,1.274112,36,1.5614,7.2958,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
comparator_16bit,10,0.63,0.10,100,0,1.274112,36,2.6660,7.1621,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
comparator_16bit,10,0.63,0.37,100,0,1.274112,36,2.8005,5.9149,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
comparator_16bit,10,0.63,0.63,100,0,1.274112,36,2.7950,5.9485,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
comparator_16bit,10,0.63,0.90,100,0,1.274112,36,2.6484,7.2958,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
comparator_16bit,10,0.90,0.10,100,0,1.274112,36,3.8023,7.1621,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
comparator_16bit,10,0.90,0.37,100,0,1.274112,36,3.9353,5.9149,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
comparator_16bit,10,0.90,0.63,100,0,1.274112,36,3.9274,5.9485,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
comparator_16bit,10,0.90,0.90,100,0,1.274112,36,3.7773,7.2958,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
comparator_16bit,50,0.10,0.10,100,0,1.274112,36,493.4798,7.1621,nW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
comparator_16bit,50,0.10,0.37,100,0,1.274112,36,1.1818,5.9149,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
comparator_16bit,50,0.10,0.63,100,0,1.274112,36,1.1824,5.9485,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
comparator_16bit,50,0.10,0.90,100,0,1.274112,36,490.6966,7.2958,nW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
comparator_16bit,50,0.37,0.10,100,0,1.274112,36,1.6298,7.1621,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
comparator_16bit,50,0.37,0.37,100,0,1.274112,36,2.3173,5.9149,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
comparator_16bit,50,0.37,0.63,100,0,1.274112,36,2.3154,5.9485,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
comparator_16bit,50,0.37,0.90,100,0,1.274112,36,1.6195,7.2958,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
comparator_16bit,50,0.63,0.10,100,0,1.274112,36,2.7241,7.1621,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
comparator_16bit,50,0.63,0.37,100,0,1.274112,36,3.4103,5.9149,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
comparator_16bit,50,0.63,0.63,100,0,1.274112,36,3.4060,5.9485,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
comparator_16bit,50,0.63,0.90,100,0,1.274112,36,2.7065,7.2958,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
comparator_16bit,50,0.90,0.10,100,0,1.274112,36,3.8604,7.1621,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
comparator_16bit,50,0.90,0.37,100,0,1.274112,36,4.5452,5.9149,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
